Species ID,Order,Family,Genus,Species,Genus.species,Authority,Synonyms,Common names (Eng),Red List status,Red List criteria
56316,ANURA,ALSODIDAE,Alsodes,kaweshkari,Alsodes.kaweshkari,"Formas, Cuevas, & Nuñez, 1998",,,DD,
56317,ANURA,ALSODIDAE,Alsodes,laevis,Alsodes.laevis,"(Philippi, 1902)",Telmatobius laevis,Potrero Spiny-chest Frog,DD,
929,ANURA,ALSODIDAE,Alsodes,montanus,Alsodes.montanus,"(Lataste in Philippi, 1902)",Telmatobius montanus,Mountain Spiny-chest Frog,CR,"B1ab(iii,v)+2ab(iii,v)"
56318,ANURA,ALSODIDAE,Alsodes,monticola,Alsodes.monticola,"Bell, 1843",Caccotus coppingeri  |Eupsophus coppingeri  ,Island Spiny-chest Frog,DD,
930,ANURA,ALSODIDAE,Alsodes,nodosus,Alsodes.nodosus,"(Duméril & Bibron, 1841)",Borborocoetes kriegi|Borborocoetus valdivianus|Cacotus maculatus|Cystignathus cinerascens|Cystignathus granulatus|Cystignathus nodosus|Cystignathus zebra|Paludicola illotus|Paludicola muelleri,Black Spiny-chest Frog,NT,
18435553,ANURA,ALSODIDAE,Alsodes,norae,Alsodes.norae,"Cuevas, 2008",,,DD,
56319,ANURA,ALSODIDAE,Alsodes,pehuenche,Alsodes.pehuenche,"Cei, 1976",,Pehuenche Spiny-chest Frog,CR,"B1ab(iii,v)+2ab(iii,v)"
40785,ANURA,ALSODIDAE,Alsodes,tumultuosus,Alsodes.tumultuosus,"Veloso, Iturra-Constant & Galleguillos, 1979",,La Parva Spiny-chest Frog,VU,"B1ab(i,iii)"
56320,ANURA,ALSODIDAE,Alsodes,valdiviensis,Alsodes.valdiviensis,"Formas, Cuevas & Brieva, 2002",,,DD,
932,ANURA,ALSODIDAE,Alsodes,vanzolinii,Alsodes.vanzolinii,"(Donoso-Barros, 1974)",Eupsophus vanzolinii,Vanzolini's Spiny-chest Frog,CR,A2ac; B2ab(iii)
56321,ANURA,ALSODIDAE,Alsodes,verrucosus,Alsodes.verrucosus,"(Philippi, 1902)",Borborocoetus verrucosus,Olive Spiny-chest Frog,DD,
56322,ANURA,ALSODIDAE,Alsodes,vittatus,Alsodes.vittatus,"(Philippi, 1902)",Cystignathus vittatus,Malleco Spiny-chest Frog,DD,
54460,ANURA,BUFONIDAE,Altiphrynoides,malcolmi,Altiphrynoides.malcolmi,"(Grandison, 1978)",Nectophrynoides malcolmi,"Malcolm's Ethiopia Toad, Ethiopian Mountain Toad",EN,"B1ab(iii,v)"
54886,ANURA,BUFONIDAE,Altiphrynoides,osgoodi,Altiphrynoides.osgoodi,"(Loveridge, 1932)",Bufo osgoodi|Spinophrynoides osgoodi  ,Osgood's Ethiopian Toad,CR,D
55266,ANURA,ALYTIDAE,Alytes,cisternasii,Alytes.cisternasii,"Boscá, 1879",,Iberian Midwife Toad,NT,
979,ANURA,ALYTIDAE,Alytes,dickhilleni,Alytes.dickhilleni,"Arntzen & García-París, 1995",,Betic Midwife Toad,VU,"B2ab(iii,iv)"
55267,ANURA,ALYTIDAE,Alytes,maurus,Alytes.maurus,"Pasteur & Bons, 1962",Alytes obstetricans subspecies maurus,Moroccan Midwife Toad,NT,
977,ANURA,ALYTIDAE,Alytes,muletensis,Alytes.muletensis,"(Sanchiz & Adrover, 1979)",Baleaphryne muletensis,"Mallorcan Midwife Toad, Majorca Midwife Toad, Majorcan Midwife Toad",VU,D2
55268,ANURA,ALYTIDAE,Alytes,obstetricans,Alytes.obstetricans,"(Laurenti, 1768)",Bufo obstetricans,Common Midwife Toad,LC,
54805,ANURA,BUFONIDAE,Amazophrynella,bokermanni,Amazophrynella.bokermanni,"(Izecksohn, 1994)",Dendrophryniscus bokermanni,,LC,
54809,ANURA,BUFONIDAE,Amazophrynella,minuta,Amazophrynella.minuta,"(Melin, 1941)",Dendrophryniscus minutus,,LC,
59049,CAUDATA,AMBYSTOMATIDAE,Ambystoma,altamirani,Ambystoma.altamirani,"(Dugès, 1895)",Amblystoma altamirani|Ambystoma  zempoalaense|Rhyacosiredon  altamirani|Rhyacosiredon  zempoalaensis ,Mountain Stream Siredon,EN,"A2ace; B1ab(iii,v)+2ab(iii,v)"
