Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
540	-2228.88	-1826.34	-402.541	39.3679	0.520027	7.77261e-05	0.471153	0.0488737	0.223364	0.240459	0.0701472	0.175067	0.232362	0.0586013	0.805309	0.941256	1.04425	1.20919	-4.10943	0.360409	0.174373	0.144693	0.320525	0.471153
550	-2230.48	-1821.24	-409.234	89.4934	0.638668	6.92846e-05	0.605048	0.0336202	0.16055	0.218494	0.0260986	0.150116	0.317019	0.127721	0.869015	0.962562	1.03106	1.13737	-4.15936	0.386742	0.160183	0.158634	0.294441	0.605048
560	-2235.76	-1825.62	-410.147	174.549	0.500712	5.88426e-05	0.477243	0.0234694	0.30808	0.153231	0.0492758	0.116828	0.301611	0.0709739	0.905496	0.973816	1.02291	1.09778	-4.23031	0.383236	0.167046	0.14737	0.302348	0.477243
570	-2244.44	-1834.61	-409.836	144.669	0.70157	7.80757e-05	0.671011	0.030558	0.229068	0.133075	0.0427938	0.251117	0.261936	0.0820107	0.896387	0.971068	1.02498	1.10756	-4.10748	0.391558	0.159259	0.14027	0.308913	0.671011
580	-2243.91	-1841.17	-402.745	132.029	0.883836	7.6228e-05	0.860452	0.0233841	0.296598	0.315117	0.028288	0.0999789	0.205807	0.0542116	0.891646	0.969622	1.02605	1.11268	-4.11789	0.371037	0.174588	0.141891	0.312484	0.860452
590	-2241.72	-1855.25	-386.465	61.1999	1.33279	8.92599e-05	1.31167	0.0211162	0.186548	0.227507	0.0883945	0.196516	0.17163	0.129406	0.842517	0.953962	1.03671	1.16681	-4.04934	0.359002	0.164503	0.167493	0.309002	1.31167
600	-2215.23	-1834.37	-380.859	118.363	0.959093	0.000105158	0.930217	0.028876	0.192093	0.163156	0.0696295	0.133411	0.339776	0.101935	0.885702	0.967793	1.02738	1.11912	-3.97816	0.349874	0.17807	0.161804	0.310253	0.930217
610	-2211.19	-1828.58	-382.602	93.6326	1.32602	9.41052e-05	1.29211	0.0339142	0.257553	0.17435	0.10243	0.194199	0.183605	0.0878618	0.871865	0.963465	1.03043	1.13423	-4.02639	0.382883	0.168256	0.155706	0.293154	1.29211
620	-2219.92	-1828.38	-391.544	85.2799	1.1199	9.79493e-05	1.09313	0.0267745	0.148449	0.148135	0.0870288	0.164999	0.269656	0.181732	0.865908	0.961572	1.03173	1.14079	-4.009	0.367418	0.189664	0.161604	0.281314	1.09313
630	-2217.54	-1823.22	-394.322	256.574	0.609574	8.2682e-05	0.575453	0.0341208	0.205805	0.149737	0.0271226	0.174142	0.287898	0.155295	0.921797	0.978633	1.01914	1.08043	-4.08259	0.392218	0.159605	0.155876	0.292302	0.575453
640	-2220.43	-1823.51	-396.924	186.456	0.893599	9.62969e-05	0.85147	0.0421288	0.16211	0.176899	0.0923994	0.221228	0.178081	0.169283	0.908507	0.974716	1.02222	1.09456	-4.01639	0.34176	0.17172	0.169211	0.317308	0.85147
650	-2217.82	-1834.8	-383.015	183.389	0.846305	0.000101439	0.800609	0.0456963	0.147016	0.140191	0.055458	0.376375	0.0976416	0.183319	0.907759	0.974493	1.02239	1.09536	-3.99379	0.390336	0.149693	0.147506	0.312466	0.800609
660	-2222.85	-1828.99	-393.853	231.53	0.712736	8.02909e-05	0.690574	0.0221621	0.136146	0.0995634	0.0266633	0.267301	0.318668	0.151658	0.917743	0.977447	1.02009	1.08473	-4.09533	0.379796	0.175281	0.166329	0.278595	0.690574
670	-2215.85	-1830.25	-385.597	83.4528	0.691217	9.71131e-05	0.662816	0.0284014	0.122054	0.294131	0.0621509	0.137464	0.23104	0.153161	0.864489	0.961119	1.03204	1.14235	-4.01272	0.370782	0.179776	0.176482	0.27296	0.662816
680	-2224.41	-1836.4	-388.008	271.198	0.97009	9.64948e-05	0.931993	0.0380976	0.395754	0.19788	0.0384382	0.131781	0.179943	0.0562034	0.923903	0.979246	1.01865	1.0782	-4.0155	0.34905	0.184677	0.185872	0.280402	0.931993
690	-2217.41	-1831.02	-386.386	228.675	0.623119	0.000109725	0.582343	0.040776	0.350552	0.175278	0.0340479	0.15984	0.230498	0.0497839	0.917239	0.977299	1.0202	1.08526	-3.95969	0.339337	0.179521	0.17147	0.309672	0.582343
700	-2228.09	-1826.64	-401.448	160.216	0.603268	8.15988e-05	0.566941	0.0363267	0.25425	0.356324	0.0326306	0.140768	0.162675	0.0533526	0.90144	0.972598	1.02384	1.10213	-4.08832	0.376467	0.178884	0.149741	0.294908	0.566941
710	-2228.91	-1826.26	-402.644	170.818	0.438665	8.91746e-05	0.397422	0.0412428	0.224231	0.205189	0.0544625	0.124148	0.203778	0.188192	0.904489	0.973514	1.02314	1.09886	-4.04976	0.35972	0.161196	0.168703	0.310382	0.397422
720	-2233.63	-1826.46	-407.164	114.549	0.439756	5.39667e-05	0.398513	0.0412428	0.154903	0.13586	0.0497016	0.263858	0.264915	0.130762	0.88386	0.967222	1.02779	1.12113	-4.26787	0.373568	0.155946	0.1576	0.312887	0.398513
730	-2242.26	-1832.67	-409.586	118.839	0.508465	6.81746e-05	0.470289	0.0381754	0.203663	0.164413	0.143008	0.131395	0.204474	0.153047	0.885926	0.967862	1.02733	1.11888	-4.16638	0.395351	0.17802	0.147375	0.279254	0.470289
740	-2234.55	-1821.64	-412.916	188.202	0.422576	6.24034e-05	0.395218	0.0273586	0.218879	0.219919	0.0304001	0.17302	0.219222	0.13856	0.908925	0.97484	1.02212	1.09411	-4.20479	0.3512	0.163153	0.158306	0.327341	0.395218
