Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
600	-5756.63	-5331.4	-425.226	276.729	0.319949	5.85718e-05	0.276557	0.0433919	0.153252	0.209963	0.0464944	0.165549	0.253067	0.171674	0.924657	0.979464	1.01847	1.07741	-4.23231	0.333345	0.154453	0.158492	0.35371	0.276557
610	-5751.49	-5332.45	-419.045	106.536	0.320607	5.78969e-05	0.27763	0.0429771	0.151809	0.207985	0.0554766	0.16399	0.250683	0.170057	0.879677	0.96592	1.02872	1.12568	-4.23734	0.328639	0.16372	0.160081	0.34756	0.27763
620	-5751.01	-5331.8	-419.214	95.688	0.31904	5.82396e-05	0.279969	0.0390712	0.130537	0.149829	0.0513996	0.151939	0.358736	0.157559	0.873213	0.963891	1.03014	1.13276	-4.23478	0.343341	0.153684	0.178367	0.324608	0.279969
630	-5748.73	-5329.62	-419.108	123.733	0.20116	6.45175e-05	0.159788	0.0413715	0.113723	0.229618	0.0447789	0.156752	0.317864	0.137264	0.888153	0.968549	1.02683	1.11646	-4.19032	0.334048	0.162435	0.165515	0.338002	0.159788
640	-5746.32	-5329.52	-416.805	370.494	0.279077	6.92474e-05	0.24119	0.0378875	0.170177	0.220287	0.0534793	0.175994	0.248376	0.131686	0.934756	0.98237	1.01609	1.06679	-4.1596	0.344178	0.160166	0.167051	0.328605	0.24119
650	-5751.8	-5332.48	-419.323	25.2072	0.299827	6.56057e-05	0.266375	0.0334511	0.202723	0.210852	0.0553179	0.117576	0.277317	0.136214	0.759399	0.924511	1.05287	1.26322	-4.18306	0.330242	0.149228	0.172961	0.347569	0.266375
660	-5744.66	-5326.96	-417.704	90.3765	0.305029	5.4915e-05	0.272388	0.0326405	0.142088	0.237843	0.0392723	0.133875	0.29327	0.15365	0.86964	0.96276	1.03092	1.13668	-4.26031	0.340603	0.14416	0.164819	0.350417	0.272388
670	-5742.28	-5324.07	-418.21	235.258	0.228367	6.44098e-05	0.177329	0.051038	0.133568	0.16493	0.0397694	0.234311	0.271826	0.155595	0.918387	0.977635	1.01994	1.08404	-4.19105	0.340603	0.14416	0.164819	0.350417	0.177329
680	-5742.16	-5326.06	-416.101	126.515	0.268878	6.39975e-05	0.230432	0.0384464	0.162507	0.181625	0.0522673	0.123562	0.29934	0.180698	0.889362	0.968921	1.02656	1.11515	-4.19384	0.339628	0.143073	0.169524	0.347775	0.230432
690	-5747.18	-5330.12	-417.055	144.676	0.176289	5.95442e-05	0.132594	0.0436951	0.133496	0.216223	0.0605875	0.175643	0.223225	0.190826	0.896389	0.971069	1.02498	1.10756	-4.22516	0.329849	0.154277	0.175665	0.340209	0.132594
700	-5761.12	-5345.07	-416.052	62.4239	0.242018	6.48119e-05	0.201706	0.0403125	0.157066	0.205125	0.0367824	0.168298	0.265645	0.167083	0.844017	0.954459	1.03639	1.16513	-4.18835	0.341134	0.148644	0.173741	0.336482	0.201706
710	-5762.92	-5340.76	-422.162	77.3068	0.198448	6.18565e-05	0.175798	0.0226499	0.162173	0.207485	0.0372055	0.15543	0.268701	0.169005	0.859361	0.959471	1.03314	1.14803	-4.20861	0.321173	0.162163	0.178592	0.338072	0.175798
720	-5753.09	-5335.33	-417.76	173.551	0.242976	6.70232e-05	0.19207	0.0509063	0.180503	0.195352	0.0407833	0.152328	0.29454	0.136494	0.905229	0.973736	1.02297	1.09806	-4.17377	0.32361	0.155499	0.180253	0.340638	0.19207
730	-5755.22	-5336.89	-418.328	116.187	0.146959	5.91275e-05	0.105961	0.0409977	0.162024	0.192143	0.0528907	0.143512	0.289702	0.159728	0.884662	0.967471	1.02761	1.12025	-4.22821	0.341443	0.143984	0.181878	0.332694	0.105961
740	-5756.02	-5337.35	-418.672	239.869	0.289799	6.69975e-05	0.256347	0.0334523	0.154618	0.277152	0.0545152	0.097908	0.254516	0.16129	0.919162	0.977863	1.01976	1.08322	-4.17394	0.331397	0.153453	0.155773	0.359377	0.256347
750	-5752.34	-5331.97	-420.376	375.458	0.211196	5.76126e-05	0.167008	0.0441879	0.154025	0.234865	0.0494516	0.109074	0.283542	0.169043	0.935184	0.982492	1.01599	1.06634	-4.23948	0.318089	0.171852	0.161966	0.348093	0.167008
760	-5742.69	-5327.69	-415.002	165.769	0.204067	6.49415e-05	0.157132	0.0469352	0.140711	0.199292	0.0396626	0.242544	0.240597	0.137194	0.903073	0.973089	1.02346	1.10037	-4.18748	0.328918	0.163458	0.169936	0.337688	0.157132
770	-5746.19	-5326.51	-419.684	111.362	0.160748	5.62447e-05	0.105862	0.0548861	0.124753	0.212044	0.0510417	0.19744	0.27646	0.138262	0.882249	0.966722	1.02815	1.12288	-4.24992	0.332351	0.165164	0.161273	0.341212	0.105862
780	-5758.38	-5336.88	-421.494	170.894	0.193132	5.1028e-05	0.154794	0.0383383	0.213476	0.198463	0.0355418	0.137483	0.237302	0.177736	0.904509	0.97352	1.02314	1.09883	-4.29219	0.345264	0.137724	0.165935	0.351077	0.154794
