Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
570	-11796.3	-10882.8	-913.508	0.610433	1.46211	0.00056067	1.43434	0.0277673	0.175024	0.224075	0.0386887	0.173867	0.270498	0.117848	0.0552667	0.318022	0.88655	2.74016	-3.25129	0.333	0.156312	0.168334	0.342354	1.43434
580	-11794.1	-10881.9	-912.217	0.641434	1.51393	0.000592637	1.48762	0.0263136	0.15052	0.242275	0.0363371	0.149886	0.292469	0.128513	0.0617509	0.334535	0.90107	2.70264	-3.22721	0.32959	0.154712	0.16661	0.349088	1.48762
590	-11788.7	-10880.8	-907.862	0.809387	1.60378	0.000589704	1.5729	0.03088	0.180945	0.221548	0.0361227	0.149002	0.290743	0.121639	0.0975546	0.410886	0.959522	2.53204	-3.22937	0.331505	0.155651	0.166899	0.345945	1.5729
600	-11797.3	-10889.4	-907.895	0.759543	1.50652	0.00055162	1.46822	0.0382996	0.174985	0.215633	0.0383689	0.15865	0.280969	0.131394	0.0869257	0.390321	0.945082	2.57767	-3.25836	0.329788	0.153614	0.164715	0.351883	1.46822
610	-11790.3	-10881.5	-908.832	0.779404	1.6493	0.000605394	1.6043	0.0450084	0.150159	0.282013	0.0329253	0.136142	0.259403	0.139357	0.0911691	0.398708	0.95108	2.55904	-3.21796	0.318462	0.165641	0.164491	0.351405	1.6043
620	-11788.7	-10881.4	-907.288	0.807296	1.70225	0.000542333	1.65792	0.0443262	0.163433	0.227916	0.0304681	0.150207	0.278409	0.149567	0.0971103	0.410055	0.958956	2.53388	-3.26573	0.320808	0.163343	0.169319	0.34653	1.65792
630	-11781.2	-10875.4	-905.812	0.723823	2.06366	0.000558081	2.03616	0.0274997	0.146174	0.250348	0.0272506	0.134345	0.308111	0.133773	0.0792824	0.374557	0.933386	2.61277	-3.2533	0.331114	0.161784	0.167703	0.339399	2.03616
640	-11792.4	-10885.3	-907.168	0.973197	1.88971	0.000591723	1.84443	0.0452871	0.156412	0.27006	0.0291592	0.143754	0.257474	0.143142	0.131575	0.468545	0.995413	2.40447	-3.22788	0.320205	0.162338	0.161525	0.355933	1.84443
650	-11794.3	-10893.1	-901.276	0.991176	1.79966	0.000575613	1.78042	0.0192353	0.168836	0.266082	0.0287297	0.141636	0.253682	0.141034	0.13519	0.474083	0.998522	2.3922	-3.23987	0.330584	0.160312	0.159509	0.349595	1.78042
660	-11783.5	-10886.4	-897.071	0.649517	2.28892	0.00056189	2.27506	0.0138581	0.168163	0.240586	0.0391674	0.141072	0.27054	0.140471	0.0634556	0.338704	0.904621	2.69322	-3.25035	0.319801	0.165157	0.168018	0.347024	2.27506
670	-11794.9	-10899.5	-895.373	0.851343	2.19343	0.000551512	2.16586	0.0275732	0.188421	0.223396	0.0363688	0.162245	0.276196	0.113373	0.106428	0.427012	0.970226	2.49633	-3.25844	0.331603	0.141691	0.172506	0.354199	2.16586
680	-11796.7	-10891.1	-905.635	0.500325	1.94724	0.000544209	1.91825	0.0289915	0.176403	0.226405	0.031081	0.149853	0.290469	0.125788	0.0334479	0.252128	0.820505	2.89392	-3.26423	0.339812	0.14674	0.167399	0.346049	1.91825
690	-11786.3	-10885.5	-900.823	0.83113	1.66635	0.000551709	1.62991	0.0364429	0.173112	0.253797	0.0387953	0.147057	0.263798	0.123441	0.102164	0.419372	0.965221	2.51324	-3.25829	0.320692	0.169591	0.15798	0.351736	1.62991
700	-11797.4	-10888.9	-908.579	0.600098	2.22486	0.000599102	2.18142	0.0434471	0.167449	0.244737	0.0374103	0.145886	0.276436	0.128082	0.0531283	0.312327	0.881369	2.75318	-3.2225	0.32476	0.157571	0.161471	0.356198	2.18142
710	-11790.2	-10893	-897.17	0.908966	1.6323	0.000545356	1.6126	0.0197058	0.195585	0.219713	0.0342829	0.161911	0.250322	0.138186	0.118451	0.447569	0.983111	2.45087	-3.26332	0.327379	0.157511	0.16501	0.3501	1.6126
720	-11778.1	-10905	-873.099	0.691339	1.62812	0.000580884	1.61177	0.0163439	0.15971	0.258823	0.0403854	0.126513	0.294881	0.119688	0.0723393	0.359415	0.921616	2.64663	-3.23591	0.319882	0.157012	0.161231	0.361875	1.61177
730	-11781.5	-10907.9	-873.604	0.629583	1.98577	0.000657326	1.96019	0.0255779	0.172636	0.2465	0.0436538	0.136751	0.275631	0.124828	0.0592612	0.328322	0.895692	2.71672	-3.18222	0.324825	0.16767	0.179809	0.327695	1.96019
740	-11785.7	-10911.1	-874.549	0.729048	2.50193	0.00067076	2.48187	0.0200592	0.167707	0.240853	0.0322113	0.134463	0.290761	0.134005	0.0804006	0.376919	0.935175	2.60751	-3.17343	0.324825	0.16767	0.179809	0.327695	2.48187
750	-11776.7	-10892.9	-883.745	0.736906	2.3668	0.000630543	2.33864	0.0281515	0.173879	0.235844	0.0333969	0.139412	0.278531	0.138937	0.0820825	0.380435	0.937813	2.59967	-3.20029	0.336059	0.159636	0.16749	0.336814	2.33864
760	-11786.8	-10892.3	-894.529	0.688868	2.20958	0.000660623	2.19694	0.0126413	0.179095	0.228402	0.0343986	0.171011	0.243989	0.143104	0.0718121	0.35823	0.920672	2.64929	-3.18005	0.330336	0.159699	0.162459	0.347506	2.19694
770	-11767.7	-10876.9	-890.749	0.813546	1.94197	0.000656748	1.92018	0.0217841	0.161437	0.24714	0.0319143	0.158111	0.268628	0.132769	0.0984377	0.412531	0.960639	2.52839	-3.1826	0.328641	0.15888	0.153517	0.358962	1.92018
780	-11780.2	-10880.6	-899.575	0.80012	1.60557	0.000613582	1.5799	0.0256679	0.16203	0.237859	0.0320316	0.189761	0.269616	0.108703	0.0955842	0.407182	0.956988	2.54025	-3.21213	0.323257	0.161309	0.155864	0.359571	1.5799
790	-11791.9	-10896.9	-895.09	0.94578	1.61867	0.000594082	1.58693	0.0317466	0.16908	0.247009	0.0309635	0.183433	0.260625	0.108889	0.126012	0.459825	0.990401	2.42376	-3.22615	0.310132	0.152832	0.149535	0.387501	1.58693
800	-11789.4	-10896	-893.348	1.10293	1.87672	0.00063526	1.84194	0.0347751	0.182129	0.248012	0.0343001	0.168501	0.23941	0.127648	0.157021	0.505644	1.01516	2.32217	-3.19705	0.318489	0.150846	0.16386	0.366805	1.84194
810	-11786.9	-10899.9	-887.003	0.950176	1.71292	0.00062517	1.6876	0.025322	0.16926	0.230487	0.0318764	0.146549	0.281781	0.140047	0.126909	0.461246	0.991228	2.42062	-3.204	0.327631	0.150379	0.168865	0.353126	1.6876
820	-11798.4	-10907.2	-891.175	0.710317	1.71795	0.000624587	1.69064	0.0273109	0.171035	0.232904	0.0302402	0.148086	0.27622	0.141515	0.0763931	0.368357	0.928632	2.62662	-3.20441	0.335135	0.150899	0.157267	0.356698	1.69064
830	-11789.8	-10901.5	-888.36	0.930562	1.66774	0.000602933	1.63686	0.0308882	0.143491	0.229147	0.0303552	0.161355	0.285648	0.150004	0.122899	0.454837	0.987469	2.43479	-3.21973	0.335993	0.151072	0.157448	0.355487	1.63686
840	-11787.7	-10885.9	-901.816	0.703303	1.91852	0.000608622	1.90497	0.0135462	0.157286	0.252081	0.0304452	0.17383	0.264151	0.122208	0.0748939	0.365084	0.926086	2.63394	-3.21565	0.326019	0.157273	0.164484	0.352224	1.90497
850	-11798	-10894.8	-903.262	0.964508	1.86499	0.000569588	1.84741	0.0175796	0.160601	0.257394	0.0310869	0.136363	0.300689	0.113865	0.129819	0.465818	0.993861	2.4105	-3.24444	0.326019	0.157273	0.164484	0.352224	1.84741
860	-11799.4	-10893.8	-905.551	0.710303	1.68265	0.000610976	1.63673	0.0459255	0.168252	0.268329	0.0325678	0.143903	0.277319	0.109628	0.0763902	0.368351	0.928627	2.62663	-3.21398	0.329925	0.159157	0.166454	0.344463	1.63673
870	-11789.6	-10889.5	-900.129	0.725871	2.08374	0.000620646	2.06812	0.0156155	0.169202	0.261251	0.0304015	0.150014	0.278884	0.110247	0.0797207	0.375485	0.934091	2.6107	-3.20716	0.330358	0.160802	0.163925	0.344915	2.06812
880	-11788.9	-10886.7	-902.222	0.743888	2.07368	0.000593241	2.01873	0.0549523	0.140885	0.233049	0.032862	0.188983	0.274421	0.1298	0.0835766	0.383522	0.940106	2.5928	-3.22677	0.335582	0.159109	0.162199	0.343109	2.01873
890	-11785.9	-10887.4	-898.453	0.708185	1.59743	0.000607746	1.58349	0.0139386	0.164636	0.280613	0.0315791	0.136645	0.263708	0.122818	0.0759375	0.367367	0.927864	2.62883	-3.21628	0.331121	0.160579	0.162022	0.346278	1.58349
900	-11782.4	-10888.6	-893.835	0.778536	2.18679	0.000613256	2.15696	0.0298364	0.188902	0.258074	0.0314808	0.13622	0.262888	0.122435	0.0909839	0.398347	0.950825	2.55984	-3.21236	0.321723	0.156021	0.163384	0.358872	2.15696
910	-11776.5	-10892.7	-883.82	0.7705	2.46724	0.000649313	2.44428	0.0229574	0.152266	0.256716	0.0387957	0.131047	0.285432	0.135744	0.0892678	0.39498	0.948433	2.56732	-3.18755	0.320219	0.166372	0.165854	0.347555	2.44428
920	-11779.3	-10889.6	-889.739	0.614535	2.23796	0.000635484	2.20913	0.0288298	0.154765	0.245389	0.0328812	0.133197	0.297233	0.136536	0.056119	0.320256	0.888557	2.73507	-3.1969	0.320492	0.16072	0.164732	0.354056	2.20913
930	-11782.4	-10888.2	-894.202	0.782291	1.62271	0.000588346	1.57808	0.0446316	0.160524	0.24019	0.0321846	0.146933	0.286525	0.133643	0.0917852	0.399905	0.951924	2.55639	-3.23037	0.338249	0.152173	0.161807	0.347771	1.57808
