Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
430	-14457.9	-14439.3	-18.6332	0.578456	0.0498657	0.00209094	0.956655	0.000360577	0.0034778	0.0070159	0.00348253	0.0873446	0.139136	0.00209517	0.00485878	0.100685	0.0599885	0.00640696	0.654218	0.0500501	0.195076	0.935145	0.0437055	0.283279	0.142463	0.27436	0.0908014	0.147662	0.208049	0.13344	0.135329	0.284118	0.0914018	0.0486972	0.300083	0.869917	2.7813	0.297053	0.187495	0.217637	0.297815	4.09256
440	-14454.9	-14441.5	-13.4205	0.643972	0.0416172	0.000856615	0.798786	0.0006077	0.00291722	0.00645206	0.0112723	0.102037	0.135032	0.00176406	0.00492851	0.1023	0.0509221	0.00514586	0.443084	0.0549903	0.160473	0.993883	0.0452271	0.252732	0.0880764	0.16444	0.103423	0.149239	0.210271	0.124186	0.136774	0.287152	0.0923778	0.0622856	0.33585	0.902195	2.69967	0.297053	0.187495	0.217637	0.297815	3.57097
450	-14451.9	-14436.2	-15.6205	0.604693	0.0463515	0.000622256	0.806977	0.00111597	0.00291182	0.00555298	0.00560624	0.103586	0.118693	0.000721126	0.00520786	0.119396	0.0496333	0.0057954	0.708764	0.0223871	0.156908	0.986221	0.0596096	0.307615	0.0637094	0.119859	0.0939145	0.156993	0.173755	0.115742	0.146631	0.307845	0.099035	0.0540774	0.314871	0.883694	2.74736	0.29559	0.187885	0.21809	0.298435	3.79116
460	-14452.8	-14431	-21.7704	0.527217	0.0452236	0.000575861	1.27244	0.00183414	0.00349734	0.00410131	0.00281747	0.103586	0.136568	0.000652989	0.00582847	0.118788	0.074795	0.0029126	0.673209	0.0376165	0.200941	0.961138	0.0438182	0.321312	0.0849347	0.194218	0.115732	0.15336	0.205002	0.119875	0.120461	0.31884	0.0824625	0.0385364	0.269313	0.839104	2.85305	0.29559	0.187885	0.21809	0.298435	4.40654
470	-14458.2	-14440.7	-17.5916	0.612329	0.0452585	0.00287541	1.07076	0.00493762	0.00261445	0.00322868	0.00408561	0.0828479	0.117468	0.000362684	0.00406164	0.117549	0.0586559	0.00260505	0.54692	0.059797	0.174916	0.947565	0.0394917	0.171734	0.1344	0.28335	0.112752	0.207935	0.192585	0.111999	0.112546	0.29789	0.0770443	0.0556604	0.319056	0.887481	2.7378	0.298985	0.190043	0.220594	0.290378	3.98824
480	-14453.5	-14437.9	-15.5725	0.634971	0.049354	0.000589508	0.9663	0.0057949	0.00331547	0.00517848	0.0026733	0.087627	0.14988	0.00112761	0.005667	0.147538	0.0417395	0.00698329	0.409025	0.0401171	0.163971	0.97989	0.0386193	0.181328	0.100487	0.287974	0.111035	0.162568	0.197011	0.105281	0.154454	0.280831	0.0998538	0.0603916	0.331162	0.898163	2.71028	0.29718	0.188896	0.217893	0.296031	3.78622
490	-14461.4	-14450.6	-10.8263	0.726495	0.049096	0.00127118	0.892091	0.010537	0.00300128	0.00507302	0.00916243	0.0822176	0.110919	0.00180431	0.00734821	0.106611	0.0575232	0.0052926	0.483504	0.0540462	0.155822	0.736825	0.065234	0.132131	0.0424124	0.228841	0.0703709	0.162468	0.197509	0.105216	0.154358	0.280657	0.0997919	0.0798542	0.375768	0.934304	2.61007	0.29639	0.191054	0.217313	0.295244	3.31113
500	-14462.6	-14444.6	-17.9857	0.61796	0.0334939	0.0017499	1.19173	0.0036414	0.00391062	0.0078186	0.00965172	0.100846	0.140791	0.00189278	0.00335687	0.15546	0.0624739	0.00202176	0.306364	0.0369184	0.201631	0.926564	0.0744418	0.318095	0.0716727	0.239986	0.133105	0.166193	0.202039	0.0881973	0.157845	0.292369	0.0933558	0.0568322	0.322109	0.890212	2.73085	0.29639	0.191054	0.217313	0.295244	4.02761
510	-14455.7	-14438.1	-17.6552	0.577391	0.0391087	0.000708487	1.07726	0.00114291	0.0094393	0.00317843	0.0116704	0.0994148	0.0896116	0.00506454	0.00420957	0.128679	0.0659406	0.002362	0.480761	0.0356112	0.189503	1.08301	0.0594812	0.151387	0.0928024	0.279637	0.0847871	0.164778	0.200318	0.109277	0.143186	0.28988	0.0925608	0.048481	0.299469	0.869331	2.78272	0.296076	0.19191	0.217083	0.294931	3.99477
520	-14448.6	-14435.2	-13.4056	0.628662	0.0343362	0.00031053	0.892223	0.000688892	0.00674632	0.00415978	0.00369945	0.0653603	0.126974	0.00354486	0.00475019	0.106602	0.0424048	0.00209656	0.467203	0.0562832	0.139205	0.915318	0.0550572	0.25086	0.0707493	0.221399	0.0995815	0.186333	0.198868	0.108486	0.117317	0.295961	0.0930349	0.0590683	0.327834	0.895266	2.71783	0.293317	0.190122	0.21506	0.301502	3.56955
